timestep;reward;episode length;entropy;estimated value
50000;-4.8;122.9;1.386101672818002;1.2671401497393258
100000;-3.7;165.95;1.3860082294563851;1.2846955767101855
150000;0.8000000000000002;327.96666666666664;1.3856795890983644;1.4248832402819274
200000;5.574999999999999;497.04999999999995;1.3849878631949384;1.5488337204060474
250000;8.459999999999999;597.0799999999999;1.3844293203721052;1.6720479101480046
300000;12.680000000000001;747.08;1.3839136698671108;1.897475182094445
350000;17.3;904.46;1.3834730409203098;2.148863697781206
400000;19.96;994.1;1.3834496114815462;2.3419218876240904
450000;18.560000000000002;952.8;1.3835173088403543;2.521761185682272
500000;19.119999999999997;977.3400000000001;1.3837915329265755;2.6846700723248773
550000;20.22;1004.2599999999999;1.3836372724998687;2.8452909606139096
600000;20.979999999999997;1029.48;1.3834151532957542;3.0086968712239246
650000;21.080000000000002;1033.6200000000001;1.3831465218741088;3.176711134465291
700000;23.94;1118.92;1.3830962709568464;3.339288233898454
750000;24.4;1127.08;1.3829006220439035;3.4999566571044247
800000;22.800000000000004;1084.06;1.3828298285480594;3.6259606072470367
850000;21.12;1030.86;1.3829082323218451;3.742905171980105
900000;19.84;985.9799999999999;1.3827829150757445;3.854630145979363
950000;18.619999999999997;943.32;1.3828762381191557;3.9565666594767683
1000000;17.7;912.9;1.3827173864362414;4.052807749933575
1050000;18.6;943.0600000000001;1.3829174750713462;4.173504473113022
1100000;18.6;942.26;1.3828411088685635;4.250624229942819
1150000;19.78;974.7;1.3828089708914035;4.3301392946610155
1200000;19.919999999999998;982.46;1.382712225714529;4.41521125046025
1250000;20.48;996.1200000000001;1.3828867782210017;4.501770369627254
1300000;19.3;956.5600000000001;1.382960242760516;4.53754023673842
1350000;20.76;1005.86;1.3830994694897092;4.612319163126488
1400000;20.48;1002.7;1.3830835863497346;4.667836195215483
1450000;19.380000000000003;962.1600000000001;1.3829703387506154;4.692947691878191
1500000;19.4;967.68;1.3827657406265739;4.715563758238734
1550000;21.52;1034.6799999999998;1.3824224861985794;4.761096219072196
1600000;20.98;1013.28;1.38185750844572;4.789027173513706
1650000;19.4;962.22;1.3817081321214126;4.833047256608734
1700000;20.380000000000003;1000.54;1.3818748865009498;4.902457689825542
1750000;19.36;966.8199999999999;1.3817077398529705;4.991777624917925
1800000;16.96;887.6200000000001;1.3812247361253793;5.057958143378486
1850000;16.080000000000002;857.2800000000001;1.3813267210586624;5.156489684129793
1900000;18.259999999999998;924.36;1.381187211703669;5.242618627950375
1950000;17.380000000000003;903.8399999999999;1.3806586479535152;5.307204368619639
2000000;15.1;828.2599999999999;1.3806757248450074;5.320039655733843
2050000;16.56;882.26;1.3813515695443068;5.3556620102534245
2100000;15.420000000000002;849.0;1.3814000961949087;5.3523396247185335
2150000;12.88;766.88;1.3814197140738433;5.37464282646704
2200000;13.74;790.6200000000001;1.3817756512186934;5.39623039955242
2250000;15.420000000000002;847.0600000000001;1.3820195924124208;5.422120912356343
2300000;14.540000000000001;809.3;1.38124329643983;5.458957610064396
2350000;15.260000000000002;830.4;1.3810566077058475;5.526231190331502
2400000;15.900000000000002;848.82;1.3813574810834994;5.564881080318353
2450000;13.540000000000001;768.1600000000001;1.381033317671747;5.594113121582415
2500000;13.26;760.5;1.381211936628947;5.616112974348868
2550000;13.64;779.4;1.3818822834617646;5.621788059179552
2600000;13.16;768.76;1.3819196505497675;5.616462537699823
2650000;12.42;752.4;1.3815991087272264;5.620739330709709
2700000;13.720000000000002;792.26;1.3820192071613056;5.653557917289199
2750000;13.6;788.4800000000001;1.3816555060008022;5.664165561666898
2800000;12.4;751.1200000000001;1.38105475013236;5.674710057266358
2850000;12.580000000000002;757.4;1.3810157606131115;5.668734300678413
2900000;13.820000000000002;792.8;1.3807284718514612;5.686591732288155
2950000;14.439999999999998;806.3399999999999;1.3803809592811251;5.693174066481722
3000000;13.66;778.0799999999999;1.3797537021958166;5.738983131627715
