timestep;reward;episode length;entropy;estimated value
50000;-2.2;199.0;1.3862735227699587;0.3066521445443896
100000;-1.6;234.6;1.3862422018818017;0.3035112115429447
150000;2.3666666666666667;372.3333333333333;1.385963421717018;0.4555079134166899
200000;8.1;566.225;1.385637519398649;0.6052751364353324
250000;9.440000000000001;609.72;1.385419071769149;0.738774288631433
300000;15.460000000000003;821.7;1.3851125901989936;0.9699889269274319
350000;19.040000000000003;945.5200000000001;1.3848497948355434;1.2334811863795272
400000;20.12;986.1;1.3846342727284235;1.4306030788638393
450000;20.78;1007.8400000000001;1.3845716169044089;1.6132948065600243
500000;20.779999999999998;1006.9399999999999;1.3845718017716535;1.776810408649879
550000;18.6;932.5800000000002;1.3844262695156915;1.9310601755943637
600000;19.06;943.6200000000001;1.3841856488702513;2.0855109221463635
650000;21.940000000000005;1030.0;1.3842165554671202;2.2489288374350864
700000;21.259999999999998;1007.0600000000001;1.3842352296462717;2.3999608774180277
750000;21.900000000000002;1034.1;1.3841706009294357;2.5525058275136114
800000;24.82;1126.3;1.3841483036509086;2.709289211681105
850000;26.160000000000004;1176.0;1.3840214732863294;2.855744730240546
900000;26.020000000000003;1169.56;1.3839732155451212;2.982123734696336
950000;26.080000000000002;1169.9;1.3837143393919848;3.1060232759199224
1000000;28.02;1232.7800000000002;1.3836861223917563;3.22327007291877
1050000;24.7;1126.22;1.3835207752716872;3.3217980502492646
1100000;23.939999999999998;1095.66;1.383635455679609;3.4230071177982504
1150000;23.140000000000004;1072.24;1.3836345359650604;3.5213638729764485
1200000;22.880000000000003;1059.3;1.3833889057900333;3.5891597898382264
1250000;21.44;1013.3400000000001;1.383221901594833;3.6680531123545577
1300000;22.060000000000002;1032.58;1.3832788017729905;3.7466366272956284
1350000;21.139999999999997;1000.46;1.3832969242900885;3.807757497990218
1400000;20.26;979.8799999999999;1.3831530323860624;3.8726993917980863
1450000;19.4;964.78;1.3832633918933515;3.960584699954102
1500000;18.16;925.5;1.3831775321051887;4.035643982342489
1550000;19.72;978.5600000000001;1.3828559638304898;4.123020280978327
1600000;20.639999999999997;1016.82;1.3823822741294243;4.2091899374209305
1650000;19.660000000000004;984.5600000000001;1.3817729417344982;4.272454762060808
1700000;19.0;958.4399999999999;1.3815943643313475;4.332417976755762
1750000;19.72;981.4799999999999;1.3815537695756142;4.374683124592118
1800000;18.14;924.9;1.381803421069124;4.414440263517045
1850000;17.36;897.14;1.3819478566652097;4.447223862119125
1900000;19.119999999999997;954.14;1.382307978611961;4.5029137006522495
1950000;19.86;983.8399999999999;1.382485058948363;4.535887157489487
2000000;20.96;1026.4;1.3824023852557805;4.577029943735077
2050000;21.699999999999996;1058.48;1.382337240359584;4.597071890209276
2100000;19.4;980.9599999999998;1.3823785467363883;4.597133029771167
2150000;17.000000000000004;904.6199999999999;1.3822248900813898;4.594727079510755
2200000;15.620000000000001;856.68;1.3823371085199936;4.62072599412282
2250000;15.16;836.2199999999999;1.3824387458364376;4.65592376017315
2300000;14.8;818.0200000000001;1.382310691692657;4.694235710496259
2350000;17.68;907.4;1.3819267475850368;4.761141877395607
2400000;18.02;911.8;1.3822344993071918;4.804924574362353
2450000;18.36;914.9399999999999;1.3822468536375712;4.827014101020689
2500000;17.360000000000003;888.2;1.381838608657136;4.826355750818981
2550000;16.12;845.4399999999999;1.3817882969709632;4.832514569614806
2600000;15.059999999999999;815.3599999999999;1.3822300821838749;4.845010334524242
2650000;15.220000000000002;825.9;1.3820266721384136;4.861785430671986
2700000;15.680000000000001;846.1600000000001;1.3818952409616063;4.897827609140398
2750000;14.5;801.14;1.3822417608875255;4.935407996201756
2800000;15.139999999999997;828.68;1.3825618154630823;4.962504334573388
2850000;15.959999999999999;857.18;1.3822983716505315;4.984897623913551
2900000;16.62;877.6;1.382139119138337;5.0140321700799175
2950000;15.48;837.5599999999998;1.3818783326922495;5.00809855023075
3000000;18.26;919.0400000000002;1.381720595298548;5.022447262111365
