timestep;reward;episode length;entropy;estimated value
50000;2.3;191.1;1.3852399783591702;2.556679181856652
100000;1.95;188.6;1.3853725451921495;2.6713125069382064
150000;2.0666666666666664;189.63333333333333;1.385352271046577;2.7488175986279066
200000;2.0999999999999996;191.75;1.3852958100135502;2.800305454245914
250000;2.1399999999999997;190.3;1.3853087085422147;2.841775471814638
300000;2.1399999999999997;190.32;1.385272364263683;2.9550215530196935
