timestep;reward;episode length;entropy;estimated value
1300000;17.119999999999997;717.9199999999998;1.385301197866045;1.9963907681627178
1350000;17.2;721.66;1.385275625124771;2.036522953937091
1400000;18.74;770.6200000000001;1.3854047473712103;2.0736503594770346
1450000;18.599999999999998;766.98;1.3853310635063416;2.107352521210233
1500000;19.2;787.74;1.3851145977300174;2.1389917541754757
1550000;19.240000000000002;795.3399999999999;1.3849923217086384;2.1649418184307843
1600000;19.82;818.2;1.3849503472238502;2.1740466482731984
1650000;19.16;792.18;1.3847445085289902;2.195760043619953
1700000;18.9;787.88;1.384458750952865;2.2010346353898624
1750000;18.619999999999997;781.1;1.3844651885664656;2.207230924387762
1800000;18.080000000000002;758.44;1.3841847102020934;2.2267995630893087
1850000;18.4;760.66;1.3838740367161844;2.255904510522263
1900000;17.96;749.3199999999999;1.383775722108361;2.270558769328961
1950000;17.92;744.3599999999999;1.3838142792362453;2.302182361231657
2000000;18.98;778.3199999999999;1.383705976050476;2.3350274096924233
2050000;20.1;819.9;1.3839491666662174;2.352596689903261
2100000;19.82;819.76;1.3842077070861776;2.3714180506987095
2150000;21.82;884.2599999999999;1.3842728232559984;2.4122242396716462
2200000;24.500000000000004;971.0200000000001;1.3841591485917975;2.4626180277187126
2250000;25.560000000000002;1000.76;1.3841993544137363;2.5060894559529308
2300000;26.419999999999998;1024.1399999999999;1.3841045268509895;2.5519108209451686
2350000;26.360000000000003;1016.1599999999999;1.3837977884584645;2.6020962043256524
2400000;25.839999999999996;1000.6200000000001;1.384100700841474;2.638358143654766
2450000;25.14;974.46;1.3844998235101578;2.66017334456023
2500000;25.440000000000005;983.9200000000001;1.3847049304760226;2.6996626135224138
2550000;22.9;896.54;1.3846218579881409;2.7229742037208653
2600000;26.340000000000003;1003.68;1.3850458817073847;2.7664787932574737
2650000;26.779999999999994;1007.4599999999998;1.3849945281072784;2.8019961209356348
2700000;26.4;997.76;1.3848749458606695;2.821544251227155
2750000;23.099999999999998;892.8399999999999;1.384826358650091;2.8197051012586387
2800000;23.119999999999997;894.4399999999999;1.3848086347069468;2.8303074438944793
2850000;22.68;875.1400000000001;1.384818081560301;2.846780935441154
2900000;19.999999999999996;797.32;1.3846789813650409;2.8386737129279815
2950000;20.46;814.04;1.3848887831592207;2.8835161803814815
3000000;24.72;951.28;1.3849580129837835;2.9385048253194874
3050000;26.5;1013.9200000000001;1.3850171211554536;2.986466948687032
3100000;23.440000000000005;924.86;1.3848310162055717;2.981844559237458
3150000;25.48;990.6;1.384944960914238;3.0196556180898564
3200000;26.660000000000004;1031.3799999999999;1.3848251717980615;3.0390564044281114
3250000;25.48;995.5799999999999;1.3847553442630811;3.0450356324830117
3300000;25.419999999999998;995.9799999999999;1.384968349087544;3.0665163692360005
3350000;25.56;990.7400000000001;1.3849195524664768;3.092782842124079
3400000;28.46;1077.82;1.3849011468993389;3.1395251057772517
3450000;23.279999999999998;900.68;1.3845296120031718;3.1108955423013027
3500000;22.339999999999996;866.3399999999999;1.3845325674952296;3.1350258001454034
3550000;20.160000000000004;790.1;1.3845754958736438;3.1528096173436992
3600000;18.64;745.06;1.3847560359998214;3.152727676604657
3650000;16.86;698.36;1.3846637083677389;3.1699861675402903
3700000;20.54;820.04;1.3850247347063949;3.2330459484316485
3750000;22.660000000000004;886.0;1.385028729535731;3.267507740289214
3800000;25.119999999999997;963.8199999999999;1.3850144280206116;3.291684870196344
3850000;30.74;1137.22;1.3851109692457606;3.3594896114049484
3900000;32.6;1189.8799999999999;1.3851707028464812;3.387181986598404
3950000;33.54;1227.2400000000002;1.3851580320496422;3.411059585574607
4000000;34.279999999999994;1247.7;1.3850140687804062;3.430893636119272
4050000;35.36;1275.4;1.3850452357846854;3.4620712284062476
4100000;35.56;1280.0800000000002;1.3849173758603217;3.490656381656464
4150000;33.239999999999995;1209.3600000000001;1.3848012226529067;3.496255263958737
4200000;34.72;1239.58;1.3847886517872445;3.5213558787668533
4250000;34.94;1254.74;1.384983932908447;3.5385617168259635
4300000;31.520000000000003;1151.98;1.3848045624210494;3.536743302221578
4350000;29.640000000000004;1098.5;1.384777322623664;3.5482644758348805
4400000;29.860000000000003;1100.58;1.3849029090751528;3.569394174057313
4450000;28.639999999999997;1068.48;1.384878205992975;3.601027542275356
4500000;27.02;1014.1;1.3848544155471239;3.6159537350693363
4550000;29.4;1089.62;1.3847431478256307;3.6614274358772767
4600000;31.9;1159.02;1.3848469123186178;3.6807250146485777
4650000;33.260000000000005;1191.6000000000001;1.3848258548195018;3.7035865407337676
4700000;34.64;1238.2;1.3849124849664451;3.7130326116121566
4750000;30.939999999999998;1126.3200000000002;1.3848836874907338;3.7148121866740915
4800000;34.28;1213.6599999999999;1.3850065127576032;3.7474587036017937
4850000;31.919999999999998;1158.2;1.3850587880936873;3.7578348293247466
4900000;31.580000000000002;1147.18;1.3851252705722703;3.789720565233401
4950000;31.560000000000002;1139.78;1.3850617299270702;3.830080174703992
5000000;31.659999999999997;1141.34;1.3848398720619925;3.849975668578753
5050000;30.4;1121.78;1.3847928783287167;3.8655399786129427
5100000;32.0;1154.9399999999998;1.3846825764103083;3.915657211671777
5150000;31.28;1145.1;1.384579009429214;3.9370668084746803
5200000;30.339999999999996;1118.0400000000002;1.3846154935182668;3.9469647760286897
5250000;33.32;1206.84;1.384835427264551;3.9983888561388796
5300000;29.82;1108.4;1.3849856632794106;4.0034062176966945
5350000;29.439999999999998;1099.7199999999998;1.3850362849284115;4.013742056411923
5400000;30.660000000000004;1135.5800000000002;1.3850425735082987;4.03511018773372
5450000;33.08;1198.8799999999999;1.3849769968945995;4.0666992392328645
5500000;33.32;1199.5400000000002;1.3848623612524986;4.092413845004439
5550000;36.7;1285.6799999999998;1.384839113632506;4.119179800932204
5600000;34.58;1217.74;1.3845460424237044;4.12521184587202
5650000;34.06;1191.12;1.384496799026014;4.1416663064927945
5700000;33.12;1174.6200000000001;1.384487404387972;4.153392833050746
5750000;29.540000000000003;1071.42;1.3841686923829308;4.120818253819752
5800000;29.639999999999997;1079.96;1.3840578985639804;4.141633675556652
5850000;33.54;1176.08;1.3839567966453679;4.194577404648433
5900000;33.84;1191.8400000000001;1.3839164304301836;4.210827870495353
5950000;29.2;1047.8200000000002;1.383674730864909;4.182906369536079
6000000;31.200000000000006;1113.8200000000002;1.3837620188298536;4.216776299293305
