timestep;reward;episode length;entropy;estimated value
50000;2.5;200.5;1.3862633258926766;0.2822618284288418
100000;1.95;185.2;1.3862399831825445;0.29700891017480446
150000;2.3666666666666667;207.5666666666667;1.3862283134420472;0.3762567393171354
200000;2.3;203.82500000000002;1.386133830288975;0.4703617924147809
250000;3.88;261.0;1.3861495439724116;0.6176614987703142
300000;8.36;422.12;1.3861152761399247;0.8366898345826137
350000;11.9;547.14;1.3860158562116303;1.078003175288221
400000;14.839999999999998;647.9;1.385989712502332;1.300268481670137
450000;17.54;741.98;1.3860270880104228;1.513125843710093
500000;18.2;767.56;1.3859784642298387;1.653339402574309
550000;17.8;746.22;1.3859907770999627;1.8016089991278197
600000;18.380000000000003;762.78;1.3860498249806061;1.9495898815522321
650000;21.32;854.0;1.3860154726203673;2.1166868561861096
700000;25.32;974.26;1.3859360325356591;2.269533424742691
750000;29.8;1101.4;1.385925790771139;2.4326060546058685
800000;31.74;1156.5800000000002;1.3858549482169864;2.5788156034837924
850000;35.3;1244.0800000000002;1.385762825201883;2.739470951993117
900000;38.21999999999999;1297.6799999999998;1.3857370602139656;2.8947101610639225
950000;36.519999999999996;1249.32;1.385789237516566;3.0251454079935245
1000000;35.56;1224.16;1.3857375393309597;3.154393351050049
1050000;37.98;1285.96;1.385399957380645;3.2938600107944227
1100000;38.34;1292.9;1.385114494462611;3.4044364383234607
1150000;34.1;1192.18;1.3848997034604038;3.473602011468799
1200000;35.88;1246.8;1.384475834513224;3.551676522965115
1250000;36.68;1265.9;1.3841118505383676;3.6167313953336815
1300000;36.58;1234.08;1.3843148142106443;3.662687967304413
1350000;38.160000000000004;1269.84;1.3844464361046511;3.7045342077476753
1400000;40.040000000000006;1329.38;1.38449287385491;3.7443741118439275
1450000;42.38000000000001;1376.26;1.3845535734572099;3.8053193939169363
1500000;45.18;1432.72;1.384617094999042;3.8741251221222086
1550000;47.36;1482.9;1.3844445936677388;3.943314134694358
1600000;43.98;1407.18;1.384344820898274;3.998508807732237
1650000;43.18;1375.08;1.3844155031442977;4.05710365571118
1700000;44.82000000000001;1379.98;1.3842858752641245;4.158997430137955
1750000;42.839999999999996;1331.72;1.383966491401809;4.222285696953605
1800000;41.64;1321.4;1.38371169603004;4.2831278396488255
1850000;43.160000000000004;1356.42;1.3834431695704361;4.33696511221144
1900000;38.519999999999996;1214.34;1.3828201769061634;4.362461792663077
1950000;32.72;1098.3;1.3828157196010444;4.379069507567204
2000000;32.46;1101.1799999999998;1.383246558348035;4.431773477436748
2050000;29.060000000000002;1019.1;1.3831825518821976;4.469604136374341
2100000;25.72;925.9199999999998;1.3827558560081954;4.51939822048157
2150000;34.18;1130.48;1.382758459110868;4.6634282666983236
2200000;37.72;1206.8400000000001;1.3827805522417882;4.733179888844762
2250000;36.98;1187.7399999999998;1.3825352395535624;4.744611020776799
2300000;40.46;1248.3400000000001;1.3824700719181005;4.889518633645243
2350000;41.980000000000004;1295.7400000000002;1.3828295398314145;4.9298855065774685
2400000;38.040000000000006;1233.3799999999999;1.3831275659336804;4.896413311788535
2450000;39.34;1260.14;1.3832159003993523;4.963585122746425
2500000;40.38;1271.1200000000001;1.3826771891901515;5.052459970357774
2550000;38.980000000000004;1260.7;1.3824630681067196;5.027930778156472
2600000;36.78;1194.5;1.3817512940726737;5.085824187103066
2650000;34.12;1106.86;1.3815511109985334;5.138792888641954
2700000;29.52;1008.6200000000001;1.3812664658228386;5.131552693322126
2750000;29.959999999999997;1040.46;1.3813842541748735;5.175036844051641
2800000;28.5;1002.2;1.3813228367129082;5.2411701095081655
2850000;34.58;1144.22;1.381280228088809;5.3929702642937265
2900000;41.220000000000006;1298.9199999999998;1.3790290993760843;5.613834950060445
2950000;44.1;1381.32;1.3789825505316566;5.684258461418362
3000000;42.82000000000001;1345.4399999999998;1.3789071086933578;5.696335205828478
3050000;44.98;1395.06;1.378622655636693;5.7437421285111245
3100000;40.88;1318.58;1.3794449780791838;5.622999108013768
3150000;33.36;1138.42;1.3820083698517274;5.395441426939059
3200000;29.48;1036.0;1.3824414632213853;5.327082166404747
3250000;29.8;1036.32;1.3821261457730498;5.383412716740972
3300000;25.860000000000003;952.6200000000001;1.3823171402713406;5.251552510615501
3350000;26.24;961.22;1.3820833740170353;5.234052895442799
3400000;32.64;1133.8600000000001;1.3804739798457748;5.370705736349537
3450000;34.67999999999999;1186.6799999999998;1.3787235711810535;5.381640332975152
3500000;32.14;1115.3799999999999;1.3778171671764787;5.28754550089345
3550000;30.76;1056.98;1.3776758458303568;5.292858300957756
3600000;29.619999999999997;1016.86;1.3771447949828748;5.307125200801713
3650000;26.52;943.8399999999999;1.3786745425728786;5.199177714889457
3700000;27.220000000000006;953.82;1.3798865125118895;5.237935700528768
3750000;24.219999999999995;866.6600000000001;1.3811050400072924;5.198423722743115
3800000;30.04;1009.72;1.3810087766408083;5.339684640174985
3850000;27.360000000000003;934.36;1.3818991835669123;5.285632128540932
3900000;28.419999999999998;960.5400000000002;1.3799976423432136;5.299291194013337
3950000;30.080000000000002;970.7;1.3787386725190927;5.379833016174025
4000000;33.839999999999996;1088.7400000000002;1.3775605611125492;5.379406131074086
4050000;34.56;1098.9;1.3778863565263024;5.330998942612353
4100000;38.12;1209.3200000000002;1.37786840481369;5.333989746770721
4150000;36.339999999999996;1161.62;1.3784243536870702;5.3238895516079285
4200000;34.56;1149.8200000000002;1.3784355453540278;5.205776086371269
4250000;37.220000000000006;1226.98;1.3793500258391884;5.255868941248183
4300000;36.04;1311.46;1.3796918778179574;5.2296729820086565
4350000;39.06;1373.3600000000001;1.378727543064541;5.3629820526440355
4400000;41.06;1429.8;1.378737222155477;5.451483114081636
4450000;39.660000000000004;1399.26;1.3801085162894033;5.46761366260214
4500000;41.42;1410.7599999999998;1.3791077955549933;5.67476611001413
4550000;38.12;1239.2;1.3787475935008058;5.636939646644206
4600000;35.739999999999995;1177.22;1.378577360938175;5.606822764621821
4650000;37.879999999999995;1231.92;1.3792743606734583;5.54203706366509
4700000;42.48;1421.12;1.378401701236864;5.546974348535015
4750000;41.52;1411.02;1.3795552382017227;5.408760452128125
4800000;43.839999999999996;1475.5;1.379436068925801;5.4075747751540195
4850000;45.800000000000004;1521.14;1.3800756062424682;5.457021020157089
4900000;47.519999999999996;1530.8400000000001;1.380170672163737;5.5759407942273205
4950000;43.839999999999996;1359.02;1.3812320658901769;5.565893245776375
5000000;42.28;1331.14;1.3815892344105292;5.53118454171552
5050000;41.1;1311.9599999999998;1.3823094914974816;5.508960111103215
5100000;40.36;1300.4599999999998;1.381756750049169;5.497235641649437
5150000;36.4;1227.5;1.381837045499402;5.4061995890145935
5200000;32.72;1129.6;1.3813819631293294;5.357411468248868
5250000;30.6;1062.8799999999999;1.3801964895436192;5.356195116021671
5300000;31.040000000000003;1054.04;1.3790990304646376;5.425610761948313
5350000;31.98;1080.8;1.3790943954130166;5.430007390901685
5400000;33.44;1123.0600000000002;1.378748135854312;5.477320860904925
5450000;37.58;1232.1799999999998;1.3779419621150322;5.618376938358875
5500000;39.67999999999999;1291.6799999999998;1.378857777663859;5.679682946844062
5550000;35.760000000000005;1194.98;1.380031717815393;5.616434844082022
5600000;35.6;1182.1799999999998;1.3801357526456517;5.7167671906487225
5650000;33.239999999999995;1119.7200000000003;1.3802240739738072;5.720265744723686
5700000;32.04;1097.0400000000002;1.3811323282539996;5.691965886761479
5750000;30.440000000000005;1060.1;1.3811751794376734;5.69177250127163
5800000;31.240000000000002;1078.48;1.3809359986157865;5.761720427634752
5850000;29.2;1035.6200000000001;1.380986899900422;5.725457969116874
5900000;28.9;1034.78;1.3813031474131547;5.717442609009351
5950000;29.080000000000002;1023.3799999999999;1.3798396366999008;5.802794984250115
6000000;32.8;1085.9;1.3775343079539997;6.0128951768922665
6050000;33.54;1110.7;1.377390272491667;6.042834844121324
6100000;30.54;1028.4199999999998;1.3778116861884577;5.9335393176229605
6150000;31.580000000000005;1041.34;1.376861210222004;6.064673487195528
6200000;28.919999999999998;968.54;1.3780013944685041;5.9826575857887985
6250000;23.5;857.4000000000002;1.380231445603777;5.7574598748426045
6300000;23.759999999999998;866.4599999999998;1.3791064063085952;5.770356555056626
6350000;25.14;920.0;1.378544742748551;5.807043873742214
6400000;23.86;893.3;1.3789116743351282;5.72582220681939
6450000;25.04;932.8399999999999;1.3779696535880102;5.771275586744932
6500000;26.160000000000004;958.4400000000002;1.3770662488095375;5.791712148236911
6550000;25.740000000000002;931.6600000000001;1.3767819904182326;5.778314785032755
6600000;23.980000000000004;860.9200000000001;1.3768403223229586;5.786184025596173
6650000;24.28;863.4;1.375921162475511;5.811143995608235
6700000;26.880000000000003;935.76;1.3742205085212071;5.818993997570823
6750000;28.46;969.5599999999998;1.3730808006216448;5.869096800266897
6800000;26.259999999999998;913.22;1.374122270797089;5.814759232693253
6850000;25.44;895.5200000000001;1.374371633334956;5.756963719997633
6900000;21.28;778.62;1.3758120378950929;5.615734810569541
6950000;19.54;718.74;1.3779426104380734;5.7211304215171825
7000000;17.68;686.54;1.3798177981006148;5.662609168125918
7050000;19.66;748.5;1.3795573800698673;5.719342850331212
7100000;21.84;815.08;1.3799471060778543;5.730218693842668
7150000;21.740000000000002;810.4799999999999;1.3798720371944326;5.704618004807647
7200000;18.72;735.74;1.3790395311202766;5.493393720541815
7250000;20.58;770.2800000000001;1.378413149712245;5.574082580388419
7300000;22.979999999999997;832.5799999999999;1.3781876117527063;5.637957263987292
7350000;23.859999999999996;865.2400000000001;1.377927788541999;5.676730131305316
7400000;29.459999999999997;1027.58;1.377851823810174;5.853191699979769
7450000;32.88;1113.82;1.378263468462104;5.97427496089651
7500000;32.56;1111.76;1.3783630249163688;5.9275640000108405
7550000;28.5;993.0600000000001;1.3785744218271812;5.881982924861203
7600000;27.660000000000004;960.3799999999999;1.378720326414437;5.883305916755049
7650000;23.279999999999998;840.0400000000002;1.378155649985263;5.750822285813742
7700000;20.16;757.2;1.3773345341995409;5.633947510760467
7750000;19.520000000000003;746.54;1.3767147067808607;5.568948474309697
